date,t,price,plan,adjusted,charge,discharge,emergency,spill,soc_end
2025-02-01,0,0.3281000000,1269.3556840145,1269.3556840145,833.3333333333,0.0000000000,0.0000000000,13.9919840145,6030.4291660000
2025-02-01,1,0.3257000000,1132.2824046577,1132.2824046577,716.8750879910,0.0000000000,0.0000000000,0.0000000000,6675.6167451919
2025-02-01,2,0.3041000000,1276.5473778899,1276.5473778899,833.3333333333,0.0000000000,0.0000000000,32.4973778899,7425.6167451919
2025-02-01,3,0.3126000000,1301.2050722177,1301.2050722177,833.3333333333,0.0000000000,0.0000000000,37.5769388844,8175.6167451919
2025-02-01,4,0.3286000000,1291.7917554333,1291.7917554333,833.3333333333,0.0000000000,0.0000000000,34.0478387666,8925.6167451919
2025-02-01,5,0.3438000000,527.3727666960,527.3727666960,121.3211000294,0.0000000000,0.0000000000,0.0000000000,9034.8057352184
2025-02-01,6,0.3704000000,523.7926450730,523.7926450730,87.0424617397,0.0000000000,0.0000000000,0.0000000000,9113.1439507841
2025-02-01,7,0.3746000000,514.0913025975,514.0913025975,62.2936192642,0.0000000000,0.0000000000,0.0000000000,9169.2082081218
2025-02-01,8,0.3606000000,507.3683612439,507.3683612439,61.2883612439,0.0000000000,0.0000000000,0.0000000000,9224.3677332414
2025-02-01,9,0.3582000000,521.3502924689,521.3502924689,49.5839591355,0.0000000000,0.0000000000,0.0000000000,9268.9932964634
2025-02-01,10,0.3041000000,531.5830232916,531.5830232916,83.5570566249,0.0000000000,0.0000000000,0.0000000000,9344.1946474258
2025-02-01,11,0.2537000000,1323.2668754340,1323.2668754340,833.3333333333,0.0000000000,0.0000000000,92.5302087673,10094.1946474258
2025-02-01,12,0.3346000000,1304.3663480910,1304.3663480910,784.2281695269,0.0000000000,0.0000000000,86.0475452307,10800.0000000000
2025-02-01,13,0.3971000000,570.1853288533,570.1853288533,0.0000000000,0.0000000000,0.0000000000,79.6244121866,10800.0000000000
2025-02-01,14,0.3670000000,511.7731000203,511.7731000203,0.0000000000,0.0000000000,0.0000000000,8.5531000203,10800.0000000000
2025-02-01,15,0.3185000000,562.0630782179,562.0630782179,0.0000000000,0.0000000000,0.0000000000,87.9902615512,10800.0000000000
2025-02-01,16,0.3285000000,566.7750059164,566.7750059164,0.0000000000,0.0000000000,0.0000000000,105.3906059164,10800.0000000000
2025-02-01,17,0.3772000000,514.0308858874,514.0308858874,0.0000000000,0.0000000000,0.0000000000,37.0892192207,10800.0000000000
2025-02-01,18,0.3815000000,520.6823864884,520.6823864884,0.0000000000,0.0000000000,0.0000000000,37.2828364884,10800.0000000000
2025-02-01,19,0.3822000000,524.5354284634,524.5354284634,0.0000000000,0.0000000000,0.0000000000,37.9335117968,10800.0000000000
2025-02-01,20,0.3962000000,514.3773820300,514.3773820300,0.0000000000,0.0000000000,0.0000000000,15.5290486966,10800.0000000000
2025-02-01,21,0.3879000000,497.8163792624,497.8163792624,0.0000000000,20.4933540709,0.0000000000,0.0000000000,10777.2296065879
2025-02-01,22,0.3405000000,511.8708878309,511.8708878309,2.7374211642,0.0000000000,0.0000000000,0.0000000000,10779.6932856357
2025-02-01,23,0.3164000000,544.4856581143,544.4856581143,22.5630159604,0.0000000000,0.0000000000,38.3059754873,10800.0000000000
2025-02-01,24,0.3916000000,532.3326442408,532.3326442408,0.0000000000,0.0000000000,0.0000000000,41.1458442408,10800.0000000000
2025-02-01,25,0.4109000000,530.7659234352,530.7659234352,0.0000000000,0.0000000000,0.0000000000,26.1206401019,10800.0000000000
2025-02-01,26,0.3610000000,540.2425742316,540.2425742316,0.0000000000,0.0000000000,0.0000000000,34.6642408983,10800.0000000000
2025-02-01,27,0.3799000000,557.5524503408,557.5524503408,0.0000000000,0.0000000000,0.0000000000,54.3214836741,10800.0000000000
2025-02-01,28,0.4094000000,542.4466033563,542.4466033563,0.0000000000,0.0000000000,0.0000000000,39.5998533563,10800.0000000000
2025-02-01,29,0.4052000000,500.4020470398,500.4020470398,0.0000000000,0.0000000000,0.0000000000,0.7603803732,10800.0000000000
2025-02-01,30,0.3896000000,539.0704291165,539.0704291165,0.0000000000,0.0000000000,0.0000000000,50.2868457831,10800.0000000000
2025-02-01,31,0.3908000000,556.3046591170,556.3046591170,0.0000000000,0.0000000000,0.0000000000,57.7892257836,10800.0000000000
2025-02-01,32,0.3821000000,564.5761428194,564.5761428194,0.0000000000,0.0000000000,0.0000000000,35.3528094861,10800.0000000000
2025-02-01,33,0.3475000000,591.5152787882,591.5152787882,0.0000000000,0.0000000000,0.0000000000,44.1049621215,10800.0000000000
2025-02-01,34,0.5182000000,0.0000000000,0.0000000000,0.0000000000,531.1811666667,0.0000000000,0.0000000000,10209.7987037037
2025-02-01,35,0.8102000000,0.0000000000,0.0000000000,0.0000000000,510.9833333333,0.0000000000,0.0000000000,9642.0394444444
2025-02-01,36,0.8756000000,0.0000000000,0.0000000000,0.0000000000,535.1871833333,0.0000000000,0.0000000000,9047.3870185185
2025-02-01,37,0.8180000000,0.0000000000,0.0000000000,0.0000000000,533.3553333333,0.0000000000,0.0000000000,8454.7699814815
2025-02-01,38,0.7708000000,0.0000000000,0.0000000000,0.0000000000,504.5200000000,0.0000000000,0.0000000000,7894.1922037037
2025-02-01,39,0.7715000000,0.0000000000,0.0000000000,0.0000000000,519.5536833333,0.0000000000,0.0000000000,7316.9103333333
2025-02-01,40,0.8181000000,0.0000000000,0.0000000000,0.0000000000,551.4800833333,0.0000000000,0.0000000000,6704.1546851852
2025-02-01,41,0.8678000000,0.0000000000,0.0000000000,0.0000000000,552.0416666667,0.0000000000,0.0000000000,6090.7750555556
2025-02-01,42,0.8640000000,0.0000000000,0.0000000000,0.0000000000,514.5580500000,0.0000000000,0.0000000000,5519.0438888889
2025-02-01,43,0.8237000000,0.0000000000,0.0000000000,0.0000000000,447.9085500000,0.0000000000,0.0000000000,5021.3677222222
2025-02-01,44,0.7654000000,0.0000000000,0.0000000000,0.0000000000,389.4241666667,0.0000000000,0.0000000000,4588.6742037037
2025-02-01,45,0.7258000000,0.0000000000,0.0000000000,0.0000000000,377.6537500000,0.0000000000,0.0000000000,4169.0589259259
2025-02-01,46,0.8697000000,0.0000000000,0.0000000000,0.0000000000,361.1613500000,0.0000000000,0.0000000000,3767.7685370370
